"","bmigr","sub","sex","x","p1","p2.3","p3","p5","p10","p16","p20","p25","p50","p75","p80","p84","p90","p95","p97","p99"
"172",1,"S","W",26,-6.6,-4.33,-3.59,-2.11,0,1.52,2.28,3.06,5.8,8.53,9.3,10.05,11.53,13.57,14.98,17.84
"182",1,"S","W",27,-6.29,-4.04,-3.29,-1.82,0.300000000000001,1.83,2.6,3.4,6.21,9.01,9.79,10.55,12.04,14.09,15.5,18.35
"192",1,"S","W",28,-5.97,-3.73,-2.99,-1.51,0.609999999999999,2.15,2.93,3.74,6.62,9.49,10.29,11.05,12.56,14.61,16.02,18.85
"202",1,"S","W",29,-5.66,-3.43,-2.69,-1.21,0.920000000000002,2.48,3.27,4.09,7.04,9.97,10.79,11.56,13.08,15.14,16.56,19.38
"213",1,"S","W",30,-5.34,-3.11,-2.37,-0.899999999999999,1.24,2.82,3.61,4.45,7.47,10.46,11.29,12.07,13.61,15.68,17.1,19.91
"222",1,"S","W",31,-5.03,-2.81,-2.06,-0.579999999999998,1.57,3.16,3.97,4.82,7.9,10.96,11.8,12.59,14.14,16.23,17.65,20.47
"232",1,"S","W",32,-4.71,-2.49,-1.74,-0.260000000000002,1.91,3.52,4.33,5.19,8.34,11.46,12.31,13.11,14.68,16.78,18.2,21.03
"242",1,"S","W",33,-4.41,-2.17,-1.43,0.0700000000000003,2.25,3.88,4.7,5.58,8.78,11.96,12.82,13.64,15.22,17.34,18.78,21.61
"252",1,"S","W",34,-4.09,-1.85,-1.1,0.399999999999999,2.6,4.25,5.08,5.97,9.23,12.47,13.35,14.17,15.77,17.91,19.35,22.2
"262",1,"S","W",35,-3.78,-1.53,-0.780000000000001,0.739999999999998,2.96,4.62,5.47,6.37,9.69,12.99,13.88,14.71,16.33,18.49,19.94,22.81
"272",1,"S","W",36,-3.47,-1.2,-0.440000000000001,1.09,3.33,5.01,5.87,6.78,10.16,13.51,14.41,15.25,16.89,19.07,20.54,23.43
